point_id,emission,lat,lon,river_name
7258,0.114342,2.290416666734928,100.97374999999352,
7259,0.2425,2.2995833334019267,100.41541666666012,
7260,10.769,2.300000000284399,100.89291666666014,Bakau
7261,0.166305,2.3020833298947423,111.19083333332615,
7262,0.116432,2.320416666735582,111.32041666665975,
7263,118.104,2.3279166667358595,111.45708333332612,
7264,2.32459,2.333750000069358,111.49041666665973,
7265,0.127983,2.335000001092567,97.71750000077144,Sungai Singkil
7266,0.10484,2.336250000069242,111.35791666665956,
7267,0.288839,2.3437500000695195,96.46791666666012,
7268,0.29451,2.349583333403018,96.38791666666016,
7269,1103.89,2.352083333403129,111.5162499999928,Loba Skubal
7270,0.201245,2.356250000069906,111.51458333332648,Loba Skubal
7271,0.467756,2.358750000069847,97.70208333332693,
7272,0.261988,2.358750000069847,111.4104166666595,
7273,0.119545,2.3670833334036274,111.37458333332644,
7274,0.127566,2.3670833334036274,111.48124999999288,
7275,0.100347,2.368227399289765,125.41871447708309,
7276,0.18521,2.3729166667369554,111.30041666665976,
7277,0.188274,2.3737500000701743,128.6537499999922,
7278,0.70189,2.390416666737224,128.6645833333257,
7279,0.415421,2.391666667764696,111.25083333410164,
7280,0.14671,2.392916666737449,100.36208333332696,
7281,0.260302,2.4037499965617712,128.67916666665906,
7282,0.142104,2.40666666696103,111.28374999999288,
7283,0.265726,2.40666666696103,128.29791666665915,Ake Tjioe
7284,2.97994,2.4095833334044983,96.31958333332705,
7285,0.206204,2.4095833334044983,100.3587499999935,
7286,0.210173,2.413750000071332,111.24041666665954,
7287,0.115365,2.41958333340466,96.31624999999376,
7288,0.101386,2.4204166667379923,111.4012499999929,
7289,0.440005,2.427916666738099,111.3095833333262,
7290,0.228382,2.4304166667381537,96.47208333332696,
7291,0.114942,2.441250000071875,111.3987499999932,
7292,0.219664,2.441250000071875,111.59874999999306,
7293,10.5447,2.442083333405208,111.59291666665972,
7294,6.72986,2.4512500000720365,111.59874999999306,
7295,0.159361,2.4529166667387585,111.4129166666596,
7296,0.286832,2.4629166667390905,111.58124999999302,
7297,3.46397,2.464583333405642,100.33958333332691,
7298,0.228035,2.465416666739145,96.3862499999936,
7299,0.268294,2.465416666739145,111.51791666665952,
7300,0.577066,2.4679166667392565,111.55708333332645,
7301,3.36434,2.471249996562051,100.33916666666022,
7302,0.415661,2.472916666739252,111.56708333332624,
7303,0.118994,2.4737500000725845,97.6579166666604,
7304,0.313172,2.4737500000725845,111.45791666665968,
7305,0.117999,2.4754166667393065,111.40041666665974,
7306,0.21523,2.476250000072696,111.38708333332649,
7307,0.382182,2.477916666739418,111.30374999999304,
7308,5.2251,2.484583333406306,111.5154166666598,
7309,0.170354,2.4904166667398044,111.30708333332647,
7310,0.191836,2.4904166667398044,111.3779166666597,
7311,0.321967,2.4929166667396885,111.45708333332612,
7312,0.508474,2.494166667774664,111.37749999922228,
7313,72.0605,2.4954166667398,100.11458333332688,Sungai Bila
7314,3.21016,2.4979166667398545,111.51041666665964,
7315,0.42721,2.501666666969868,111.49874999999292,
7316,78.8448,2.507083333406684,100.16124999999352,Sungai Barumun
7317,0.595298,2.507916666740016,100.14708333332692,Sungai Barumun
7318,11.3581,2.51125000007346,100.16624999999352,Sungai Barumun
7319,0.262133,2.513750000073572,109.03041666665972,
7320,56.0613,2.514583333406904,111.4195833333265,
7321,0.568674,2.518749996562065,111.30916666665956,
7322,0.114585,2.51958333340707,96.34624999999352,
7323,12.494,2.51958333340707,100.1554166666602,Sungai Barumun
7324,0.202392,2.5237500000737327,100.13041666666004,Sungai Panai
7325,0.105371,2.526250000073958,128.65208333332566,
7326,0.383628,2.5279166667405093,111.37874999999286,
7327,0.153884,2.5320833334073427,109.00374999999326,
7328,0.156083,2.5395833334073927,111.3779166666597,
7329,0.854027,2.546666666974204,111.30374999999304,
7330,0.331168,2.552083333407836,96.32874999999363,
7331,0.482485,2.557500001114022,97.65750000076144,
7332,0.250024,2.5587500000744967,96.31041666666044,
7333,2.80224,2.567916666741496,100.10624999999328,Sungai Panai
7334,1.0967,2.567916666741496,128.61291666665875,
7335,0.38884,2.5687500000748287,128.44624999999223,
7336,0.165161,2.569583333408218,96.07624999999382,Luan Dehet
7337,0.326379,2.5712500000747696,100.00124999999356,Sei Kualuh
7338,0.335919,2.5725000003097875,111.3779166666597,
7339,0.208441,2.5754166667417167,100.13208333332676,Sungai Panai
7340,0.250609,2.577083333408268,128.51708333332567,
7341,29.3831,2.582083333408434,99.99208333332696,Sei Kualuh
7342,30.776,2.5829166667418235,111.40541666665956,
7343,0.137495,2.583750000075156,97.65708333332702,
7344,2.47361,2.584583333408545,95.9929166666604,
7345,1.22607,2.588333333644755,95.97458333332712,
7346,0.114047,2.588749996562399,100.12833333332668,Sungai Panai
7347,0.656154,2.58833333445034,111.3808333325598,
7348,0.846951,2.597916666742151,100.0987499999934,Sungai Panai
7349,0.258924,2.601250000075595,95.91291666666018,
7350,0.425057,2.605416663229107,100.00833333332696,Sei Kualuh
7351,0.126643,2.6054166667423715,117.81624999999292,
7352,0.889983,2.6095833334090344,97.6554166666603,
7353,5.69004,2.6120833334092595,100.12291666666,Sungai Panai
7354,0.110067,2.612916666742649,128.59374999999238,
7355,0.479584,2.617916666742815,111.38458333332642,
7356,0.18971,2.622083333409421,100.09208333332684,Sungai Panai
7357,0.102322,2.627083333409587,95.88041666666038,
7358,0.594565,2.6279166667429763,111.38374999999304,
7359,0.408991,2.6354166667430263,100.24208333332687,
7360,0.392906,2.636250000076359,96.12374999999378,
7361,0.102089,2.637916666743081,95.86208333332712,
7362,0.173517,2.637500001121793,96.1083333325626,
7363,17.0475,2.639583333409803,100.12291666666016,Sungai Panai
7364,0.720707,2.6545833334101303,99.99041666666022,Sei Kualuh
7365,6.12116,2.6545833334101303,100.0945833333268,Sungai Panai
7366,0.604219,2.65791666322923,96.10166666666044,Lajambaung River
7367,0.399192,2.65791666322923,99.99166666666024,Sei Kualuh
7368,0.465141,2.659583329895952,95.79583333332688,
7369,0.207771,2.668750000077125,111.38124999999314,
7370,0.682171,2.675416666744013,111.4287499999931,
7371,0.106818,2.6787500000772866,100.22374999999364,
7372,1.35453,2.681250000077512,100.09374999999358,Sungai Panai
